SKU,Name,Description,Stock,"Weight (kg)",Categories,images
136465,SI-PEX40065,"SYBA CC SI-PEX40065 4PT SATA III 6Gb s PCIE with Full Low Profile Brackets RTL",0,0.35,"Controller Cards>Serial ATA Controller",images/136465.jpg
136552,ST121UTPDVI,"StarTech Accessory ST121UTPDVI DVI Video Extender Over Cat 5 UTP Retail",0,1.46,"Accessories>Video Card Accessories",images/136552.jpg
136560,SAS808782P50,"StarTech SAS808782P50 50cm Serial Attached SCSI miniSAS SFF-8087 to 4xSFF8482",1,0.22,"Cables>Internal IDE",images/136560.jpg
136589,C6PATCH8BK,"StarTech Cable C6PATCH8BK 8ft Cat 6 Black Molded RJ45 UTP Gigabit Patch Retail",0,0.24,Cables>Networking,images/136589.jpg
136599,MCP-120-00031-0N,"Supermicro MCP-120-00031-0N Silver Chassis Rail Set f SSC813 814 815 816 819",9,0.50,Accessories>Accessories,images/136599.jpg
136705,SC-SA0R11-S1,"SIIG Controller Card SC-SA0R11-S1 SATA 6Gb s 4Port PCIE Dual Profile Brown",14,1.00,"Controller Cards>Serial ATA Controller",images/136705.jpg
136715,H5-25176-02,"LSI Logic CC H5-25176-02 SAS 9206-16e SGL 16PT EXT SATA+SAS 6Gb s PCIE3.0 HBA",1,1.50,"Controller Cards>SAS Controller",images/136715.jpg
136716,L5-25201-00,"LSI Logic CB L5-25201-00 CBL-SFF8644-20M 2M SFF8644 to SFF8644 Mini SAS Bare",0,3.00,"Cables>External IDE",images/136716.jpg
136717,L5-25196-00,"LSI Logic CB L5-25196-00 1.0M SFF8644 to SFF8088 (MiniSAS HD to Mini SAS) Bare",0,3.00,"Cables>Internal IDE",images/136717.jpg
136718,L5-25198-00,"LSI Logic CB L5-25198-00 CBL-SFF8644-10M 1M SFF8644 to SFF8644 Mini SAS Bare",1,3.00,"Cables>External IDE",images/136718.jpg
136719,L5-25194-00,"LSI Logic CB L5-25194-00 CBL-SFF8644-8088-60M 6M SFF8644 to SFF8088 Mini SAS",0,2.20,"Cables>External IDE",images/136719.jpg
136720,L5-25199-00,"LSI Logic CVB L5-25199-00 2.0M SFF8644 to SFF8088 (MiniSAS HD to Mini SAS) Bare",0,3.00,"Cables>Internal IDE",images/136720.jpg
136722,920-004536,"Logitech Keyboard Mouse 920-004536 Wireless Combo MK270 2.4GHz Black Retail",0,1.85,"Keyboards>Keyboard/Mice Combo",images/136722.jpg
136728,AXXCBL880SATA,"Intel AXXCBL880SATA 880mm SATA ODD cable AXXCBL880SATA Single Retail",0,0.05,"Cables>External IDE",images/136728.jpg
136791,RP-HDD3.5,"iStarUSA Accessory RP-HDD3.5 3.5 to 5.25 Hard Drive Mounting Bracket Retail",1,1.00,"Accessories>Hard Drive Accessories",images/136791.jpg
136846,USBDVI4N1A10,"StarTech Cable USBDVI4N1A10 10ft 4-in-1 USB DVI KVM Cable w Audio+Microphone",0,1.87,"Cables>External IDE",images/136846.jpg
